date,strategy_return,equity_curve
2025-01-31,0.0027554901885254853,1.0027554901885254
2025-02-03,0.00018253267071625365,1.002938525826225
2025-02-04,-0.0025014440741980364,1.000429731194012
2025-02-05,0.0018625996906043122,1.0022931313018053
2025-02-06,-0.0003131637348292145,1.001979249441413
2025-02-07,0.0024132613924746174,1.0043972872801505
2025-02-10,0.005209045233483525,1.009629238181981
2025-02-11,0.0023020267162793644,1.0119534316618126
2025-02-12,0.0004683232584781078,1.0124273529903567
2025-02-13,0.0003286497559807566,1.0127600869928652
2025-02-14,0.0023133599423242356,1.0151029656092994
2025-02-18,-0.005302676839151619,1.0097202026242087
2025-02-19,-0.0011573998984017008,1.0085515525642772
2025-02-20,-0.0032899055900901045,1.0052335131736019
2025-02-21,-0.0027745594276906227,1.0024444330525955
2025-02-24,-0.0018024858334062658,1.000637541163241
2025-02-25,-0.0008673898896277846,0.9997695982768542
2025-02-26,0.0005685134476518558,1.0003379807380282
2025-02-27,-0.0002025233697974286,1.0001353889192328
2025-02-28,0.0019957624121311225,1.00213142153548
2025-03-03,-0.0021621693371949593,0.9999646437039964
2025-03-04,-0.0007125462434513922,0.9992521226535409
2025-03-05,9.443395336956604e-05,0.9993464859818959
2025-03-06,0.004740213831867264,1.0040836020175752
2025-03-07,0.002718192662332793,1.006812894696948
2025-03-10,0.003524268549462134,1.0103611737169211
2025-03-11,0.0041881095388368785,1.0145926769862355
2025-03-12,0.0018859785436731607,1.0165061770055994
2025-03-13,0.002411312259800488,1.0189572908123758
2025-03-14,0.0021899893303526886,1.02118879640734
2025-03-17,0.001099624556297106,1.022311720684485
2025-03-18,0.0015127374810831422,1.0238582099417148
2025-03-19,-0.0005121207388992016,1.0233338709187114
2025-03-20,-0.0020599305128725497,1.02122587425315
2025-03-21,-0.0036679234442622325,1.0174800959270895
2025-03-24,-0.004931987768695965,1.0124618965390855
2025-03-25,-0.005349271168496027,1.0070459633067281
2025-03-26,-0.0015004278963360207,1.0055349634504902
2025-03-27,-0.003449411923149334,1.0020664591584205
2025-03-28,-0.0031110876693415898,0.998948942553472
2025-03-31,9.333123152453893e-05,0.9990421756885106
2025-04-01,-0.002855743050510831,0.996189167938121
2025-04-02,0.004326961768573367,1.000499640382056
2025-04-03,0.004905326848556781,1.0054074181299937
2025-04-04,0.004441848679127806,1.0098732857421997
2025-04-07,0.0022805197731026712,1.0121763217386628
2025-04-08,0.006166311194718048,1.0184177159224286
2025-04-09,-0.005631804468915262,1.0126821864786741
2025-04-10,-0.002073269774666572,1.0105826231101047
2025-04-11,-0.0024000972813657193,1.0081571265037828
2025-04-14,0.0011713442479134232,1.0093380255549058
2025-04-15,0.000574755285624932,1.0099181479200758
2025-04-16,0.0046618440753262245,1.0146262288545216
2025-04-17,0.004676415399639961,1.0193710425760154
2025-04-21,0.004372107840555397,1.023827842703697
2025-04-22,0.004937776352475559,1.0288832756144055
2025-04-23,0.003044545505816717,1.0320157575671873
2025-04-24,-0.00012844051975208063,1.0318832049268931
2025-04-25,0.0004781297805410538,1.0323765790172088
2025-04-28,-0.0009500501577035067,1.031395769485504
2025-04-29,-0.000761796639240305,1.0306100556545834
2025-04-30,0.0019684683291515833,1.0326387789088447
2025-05-01,0.002940438876331585,1.035675190119556
2025-05-02,0.0016367477563904713,1.0373703291633336
2025-05-05,0.005300477391276909,1.0428688871394451
2025-05-06,0.005829156062384415,1.048947932635186
2025-05-07,0.005339093928055816,1.0545483641731652
2025-05-08,0.004432417520143605,1.0592225628183651
2025-05-09,0.0033675818989851976,1.062789581547909
2025-05-12,-0.0013684696591632522,1.0613351862514857
2025-05-13,-0.0037798521816204945,1.0573234961323024
2025-05-14,-0.0038567089679021095,1.0532457071227952
2025-05-15,-0.001297370417103472,1.051879257300433
2025-05-16,-0.001764771847584176,1.0500229304000914
2025-05-19,8.528458000716838e-05,1.0501124811647085
2025-05-20,0.0006763358739678628,1.0508227099074217
2025-05-21,0.00031487000728096926,1.0511535824617413
2025-05-22,-0.0001733997019810297,1.050971312743806
2025-05-23,0.0010460942962447262,1.0520707278395842
2025-05-27,-2.9880313347505636e-05,1.0520392916365726
2025-05-28,0.00025917547705324613,1.0523119544218613
2025-05-29,-0.0009929488972365565,1.0512670624271694
2025-05-30,0.00023929301527882385,1.051518623292401
2025-06-02,0.0023197577753742023,1.0539578917947343
2025-06-03,0.0025743558227890855,1.0566711544304506
2025-06-04,0.001740414477846387,1.0585102002059439
2025-06-05,0.004441242791911258,1.063211301002773
2025-06-06,0.004846959074556171,1.0683646426663391
2025-06-09,0.003537415807144231,1.0721438926411009
2025-06-10,0.0009488255038337487,1.0731611701102184
2025-06-11,0.0011138259466010592,1.0743564848663718
2025-06-12,0.0015299559452684633,1.0760002029577307
2025-06-13,-0.0018376317735334952,1.0740229107964472
2025-06-16,-0.0018364814137462478,1.0720504876828318
2025-06-17,-0.001197130137513085,1.0707671037350912
2025-06-18,-0.0005500327948279623,1.0701781467124138
2025-06-20,-0.00023407953632330553,1.0699276399080482
2025-06-23,0.0030718705235802885,1.0732143190874457
2025-06-24,-0.0008393254076392095,1.0723135430415933
2025-06-25,0.0001154930750222609,1.0724373878300673
2025-06-26,-0.000429329535728084,1.0719769587842527
2025-06-27,0.00018141580285058195,1.072171432344868
2025-06-30,0.0003399828371353671,1.072535952230332
2025-07-01,0.0015517168714333123,1.0742002243626267
2025-07-02,0.0009273182140198159,1.0751963497961825
2025-07-03,0.0019738284831763674,1.0773186029764175
2025-07-07,0.001883181622925298,1.0793473895715782
2025-07-08,0.0010857381327796574,1.080519278190952
2025-07-09,0.0020447610815981995,1.0827286819589135
2025-07-10,0.0015053688085962138,1.084358587944907
2025-07-11,0.0007435611296015192,1.0851648748414524
2025-07-14,0.002428208413294711,1.0877998813203544
2025-07-15,-0.0001775620456172928,1.087606729348205
2025-07-16,0.0014696490671621619,1.0892051295634309
2025-07-17,6.0394085339440624e-05,1.0892709111109777
2025-07-18,0.001959244855912612,1.0914050595402673
2025-07-21,0.0018745470725201787,1.0934509496995621
2025-07-22,0.001082411601473865,1.0946345136931594
2025-07-23,-0.001764608762451306,1.092702912038615
2025-07-24,-0.0030910670060643386,1.089325294119782
2025-07-25,-0.0029017986578032404,1.086164291443394
2025-07-28,-0.0014183721386902708,1.0846237062743704
2025-07-29,0.0005418304294252001,1.0852113884029058
2025-07-30,-0.00017889111591832852,1.0850172537266272
2025-07-31,0.0010223195813399625,1.0861264881112036
2025-08-01,0.003522099321038151,1.0899519334775416
2025-08-04,0.0020918179061958204,1.0922319144488826
2025-08-05,0.00015499572263659038,1.0924012057237493
2025-08-06,0.0001734118386121631,1.0925906410253359
2025-08-07,0.0008686075169342455,1.0935396734690623
2025-08-08,0.00015254350545169135,1.0937064858442038
2025-08-11,0.0010291169468131674,1.0948320377236254
2025-08-12,-0.0007757390419185883,1.0939827337676198
2025-08-13,-0.0017500435169661966,1.0920682163767168
2025-08-14,-0.0025130314715761685,1.089323814579854
2025-08-15,-0.001345119850989466,1.087858543492707
2025-08-18,-0.0014858444442429689,1.0862421549197363
2025-08-19,-0.0005205049088302105,1.0856767605459223
2025-08-20,0.0006546031947578451,1.08638744802185
2025-08-21,0.0005541644382874299,1.0869894853117454
2025-08-22,-0.0003268503777402333,1.0866342023878717
